"track_uri","track_name","artist_uri_s","artist_name_s","album_uri","album_name","album_artist_uri_s","album_artist_name_s","album_release_date","album_image_url","disc_number","track_number","track_duration_ms","track_preview_url","explicit","popularity","isrc","added_by","added_at","artist_genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","album_genres","label","copyrights"
"spotify:track:1NXUWyPJk5kO6DQJ5t7bDu","Apeman - 2014 Remastered Version","spotify:artist:1SQRv42e4PjEYfPhS0Tk9E","The Kinks","spotify:album:6lL6HugNEN4Vlc8sj0Zcse","Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)","spotify:artist:1SQRv42e4PjEYfPhS0Tk9E","The Kinks","2014-10-20","https://i.scdn.co/image/ab67616d0000b2731e7c5307ccbbb74101e0cc77","1","11","233400","https://p.scdn.co/mp3-preview/c4df3a832509cc5506bd0c91419146f78d864825?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GB5KW1499822","spotify:user:bradnumber1","2021-08-08T09:26:31Z","album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter","0.683","0.728","9","-8.92","1","0.259","0.568","0.0000508","0.0384","0.833","75.311","4","","Sanctuary Records","C © 2014 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2014 Sanctuary Records Group Ltd., a BMG Company"
"spotify:track:0d2iYfpKoM0QCKvcLCkBao","Eastside (with Halsey & Khalid)","spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:6LuN9FCkKOj5PcnpouEgny","benny blanco, Halsey, Khalid","spotify:album:7pkLXlFdpQDfmHujT2AbBK","Eastside (with Halsey & Khalid)","spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:6LuN9FCkKOj5PcnpouEgny","benny blanco, Halsey, Khalid","2018-07-12","https://i.scdn.co/image/ab67616d0000b2733154f0bdf9a17385d7afc6ba","1","1","173799","https://p.scdn.co/mp3-preview/24726be4c89b67eab298a72560b637581450421c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71809132","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pop,electropop,etherpop,indie poptimism,pop,pop,pop r&b","0.56","0.68","6","-7.648","0","0.321","0.555","0","0.116","0.319","89.391","4","","Benny Blanco Solo Album PS","C © 2018 Friends Keep Secrets/Interscope Records, P ℗ 2018 Friends Keep Secrets/Interscope Records"
"spotify:track:3OalxlWH0v14kyBcNBMINt","Mercy","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:0S9QJQiRmG9JYYfJfKqhDF","Illuminate (Deluxe)","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2016-09-23","https://i.scdn.co/image/ab67616d0000b2738a24ed638eedd60514a789ef","1","2","208733","","false","0","USUM71603531","spotify:user:bradnumber1","2021-08-08T09:26:31Z","canadian pop,pop,viral pop","0.562","0.681","11","-4.934","0","0.0871","0.113","0","0.11","0.357","148.064","4","","Universal Music Group","C © 2016 Island Records, a division of UMG Recordings, Inc., P ℗ 2016 Island Records, a division of UMG Recordings, Inc."
"spotify:track:6K8qKeWo5MsFED7wCR6Kop","Sing","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:1xn54DMo2qIqBuMqHtUsFd","x (Deluxe Edition)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2014-06-21","https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd","1","3","235382","https://p.scdn.co/mp3-preview/6427953465d954b73d4b2bebec48d01b806ba8f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBAHS1400082","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pop,singer-songwriter pop,uk pop","0.818","0.67","8","-4.451","0","0.0472","0.304","0.00000122","0.0601","0.939","119.988","4","","Atlantic Records UK","C © 2014 Asylum Records UK, a Warner Music UK Company, P ℗ 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc."
"spotify:track:2760p399WNJLX9LGBkjL4Z","Flava","spotify:artist:2C0Cu6wbLYQyXl8MDwH2JE","Nathaniel","spotify:album:0RsPmRzTbarQCXBgLSW5Ox","Yours","spotify:artist:2C0Cu6wbLYQyXl8MDwH2JE","Nathaniel","2016-01-01","https://i.scdn.co/image/ab67616d0000b273c911d9842660be1965a41daf","1","2","185266","https://p.scdn.co/mp3-preview/1725984aad26a01d4d324b5e41d2c995323fe00a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","AUBM01500025","spotify:user:bradnumber1","2021-08-08T09:26:31Z","australian pop,australian talent show","0.813","0.754","4","-3.911","0","0.0494","0.166","0","0.121","0.923","112.962","4","","DNA Songs/Sony Music Entertainment","P (P) 2015 DNA Songs/ Sony Music Entertainment Australia Pty Ltd."
"spotify:track:5yJCo7EewUcX9qj5nnk9O2","Baby Sittin' Boogie - Radio Version","spotify:artist:4Z1spMbjudmqwjyBPleP7s","Buzz Clifford","spotify:album:1LL6GWTsMYiRc0fwGfoU3h","Rock & Roll 50s & 60s Mix","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-10-01","https://i.scdn.co/image/ab67616d0000b27325a738dc864174811aa67d1b","1","24","122958","https://p.scdn.co/mp3-preview/6798b36f687e65889d4987e0dd3b3508b9c0647f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","DEAR41442794","spotify:user:bradnumber1","2021-08-08T09:26:31Z","","0.483","0.533","6","-9.883","1","0.145","0.805","0","0.161","0.878","140.11","4","","Rock Miramike","C 2016 Rock Miramike, P 2016 Rock Miramike"
"spotify:track:2uiyVyP0Rvl0MgB8ehoc07","Dr. Love","spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa","Tina Charles","spotify:album:60XZbb6xRKj7waYqeJi3wz","Dance Little Lady","spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa","Tina Charles","2012-03-20","https://i.scdn.co/image/ab67616d0000b273327142437c88efaea2c92823","1","2","189320","https://p.scdn.co/mp3-preview/7474cf366ef5526e444fd9b78bb70abd3ee4acb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","GBQRF1119559","spotify:user:bradnumber1","2021-08-08T09:26:31Z","disco,hi-nrg","0.736","0.563","2","-13.837","1","0.0312","0.0165","0","0.166","0.96","102.021","4","","Dressed 2 Kill - OMP","C 2012 One Media Publishing"
"spotify:track:2J22VgQALSoekF3KCj1nIk","Landslide (Glee Cast Version) (feat. Gwyneth Paltrow)","spotify:artist:0SCbttzoZTnLFebDYmAWCm, spotify:artist:4njFVSUWyxD84ur7w8Oy7h","Glee Cast, Gwyneth Paltrow","spotify:album:21c5423eTa6tKyMs9DKGW7","Landslide (Glee Cast Version) (feat. Gwyneth Paltrow)","spotify:artist:0SCbttzoZTnLFebDYmAWCm","Glee Cast","2011-03-08","https://i.scdn.co/image/ab67616d0000b2733ca397d1402604db8256d98f","1","1","226760","","false","0","USQX91100225","spotify:user:bradnumber1","2021-08-08T09:26:31Z","glee club,post-teen pop","0.637","0.416","2","-7.595","1","0.0269","0.434","0","0.139","0.588","145.922","4","","Columbia","P (P) 2011 Twentieth Century Fox Film Corporation"
"spotify:track:1O0BTayCdWgQYAYYUynSpe","I'm Free","spotify:artist:5BEYGWk6aPdNXxBx9pwU8S, spotify:artist:0qPUDOVD0aYR2lmCilnscs","The Soup Dragons, Junior Reid","spotify:album:6WLRzKWVxm6qPEUBMVG5cH","20 Golden Greats","spotify:artist:5BEYGWk6aPdNXxBx9pwU8S","The Soup Dragons","2012","https://i.scdn.co/image/ab67616d0000b2736c7cafd01f0541a44b794dda","1","2","211693","","false","0","GBUM71104914","spotify:user:bradnumber1","2021-08-08T09:26:31Z","britpop,c86,madchester,scottish indie,lovers rock,old school dancehall,reggae,reggae fusion,roots reggae","0.648","0.936","7","-5.968","1","0.0797","0.0981","0.0000224","0.0712","0.856","103.272","4","","Universal Music Group","C © 2012 Mercury Records Limited, P ℗ 2012 Mercury Records Limited"
"spotify:track:1PWnAEQcbwQwK759otUbta","Writing's On The Wall - From ""Spectre"" Soundtrack","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:50bQvrNAFsAaIbqCcfD7FT","Writing's On The Wall","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2015-09-25","https://i.scdn.co/image/ab67616d0000b2737fb4266023aacbea214d8b56","1","1","278987","https://p.scdn.co/mp3-preview/bf3cb5ef872faafce3d59468a538dcd98a4cbfa2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBUM71505354","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pop,uk pop","0.261","0.302","5","-8.19","0","0.0339","0.769","0.00000257","0.0863","0.0883","81.418","3","","Capitol","C © 2015 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2015 Capitol Records, a division of Universal Music Operations Limited"
